ID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Time Signature,Popularity
5tbJvz7EzXc9Z8odKvfvJm, 0.415, 0.11, 1, -14.901, 1, 0.0388, 0.00236, 0.0962, 0.234, 81.876, 240147, 4, 25
1UZOjK1BwmwWU14Erba9CZ, 0.573, 0.781, 8, -6.406, 1, 0.0555, 2.64e-05, 0.0813, 0.343, 139.934, 231907, 4, 80
3Vo4wInECJQuz9BIBMOu8i, 0.704, 0.859, 5, -4.877, 0, 0.0996, 0, 0.0215, 0.926, 105.115, 217289, 4, 84
5wUUWVRvrciJqFitZF8R0P, 0.643, 0.541, 2, -5.801, 1, 0.0426, 0, 0.102, 0.165, 119.501, 311197, 4, 69
3BtuIIrQlkujKPuWF2B85z, 0.82, 0.641, 4, -7.811, 0, 0.116, 5.07e-05, 0.102, 0.395, 117.974, 263373, 4, 76
5nN8BwAQDJDguq7Dpd3JQQ, 0.813, 0.453, 1, -6.941, 1, 0.338, 0, 0.14, 0.191, 161.997, 208027, 4, 68
1f5cbQtDrykjarZVrShaDI, 0.839, 0.81, 5, -5.274, 0, 0.0568, 0, 0.117, 0.814, 129.014, 209269, 4, 81
1mXVgsBdtIVeCLJnSnmtdV, 0.698, 0.375, 5, -8.279, 1, 0.0491, 0, 0.173, 0.534, 91.92, 201000, 4, 86
75ZvA4QfFiZvzhj2xkaWAh, 0.556, 0.538, 8, -5.408, 0, 0.0382, 0, 0.196, 0.291, 143.95, 223347, 4, 88
6Dwtha2FtZFoMEBh5GR2sq, 0.827, 0.702, 6, -7.264, 1, 0.267, 5.04e-05, 0.158, 0.694, 130.02, 191720, 4, 67
4EAV2cKiqKP5UPZmY6dejk, 0.67, 0.752, 1, -4.146, 1, 0.0374, 0, 0.0749, 0.442, 149.961, 204747, 4, 84
7vFoFDWqTX0mHzLfrF1Cfy, 0.782, 0.685, 4, -6.237, 1, 0.0309, 1.18e-05, 0.16, 0.603, 118.016, 180566, 4, 75
77VLYTyrdlHEWcjhjQoXlz, 0.727, 0.598, 8, -8.425, 1, 0.0515, 1.07e-05, 0.0975, 0.683, 97.037, 197627, 4, 67
3aLWuWKHaTV4Ok7LKvXRYn, 0.681, 0.774, 1, -3.167, 0, 0.0787, 0, 0.35, 0.267, 102.924, 162425, 4, 70
2mj7x99sNUsVHPBRK51zlG, 0.599, 0.396, 10, -10.489, 0, 0.0392, 2.19e-05, 0.102, 0.134, 111.072, 246327, 4, 70
3E2Zh20GDCR9B1EYjfXWyv, 0.673, 0.637, 5, -4.518, 1, 0.0429, 0, 0.184, 0.678, 123.98, 201160, 4, 56
2glGP8kEfACgJdZ86kWxhN, 0.763, 0.608, 5, -8.1, 0, 0.035, 2.5e-05, 0.12, 0.393, 121.02, 138013, 4, 65
447yWcDPg1ddgcHBLGpJC0, 0.783, 0.537, 9, -2.921, 1, 0.0749, 0, 0.229, 0.392, 113.977, 222866, 4, 32
1rfofaqEpACxVEHIZBJe6W, 0.765, 0.523, 2, -4.333, 1, 0.03, 3.56e-05, 0.132, 0.394, 104.988, 217307, 4, 88
5kRPPEWFJIMox5qIkQkiz5, 0.427, 0.262, 7, -8.541, 1, 0.0276, 0, 0.068, 0.228, 104.085, 224867, 4, 76
5o3GnrcFtvkdf3zFznuSbA, 0.783, 0.61, 7, -6.124, 1, 0.0696, 0, 0.0983, 0.418, 100.047, 214265, 4, 76
5GXAXm5YOmYT0kL5jHvYBt, 0.773, 0.819, 0, -5.946, 0, 0.118, 0, 0.0679, 0.585, 92.99, 269187, 4, 71
0afhq8XCExXpqazXczTSve, 0.624, 0.876, 9, -3.374, 1, 0.1, 0, 0.327, 0.781, 99.943, 170827, 4, 84
7fex2V7RzWl9nCKyILjibB, 0.387, 0.413, 7, -8.95, 1, 0.0559, 1.56e-05, 0.262, 0.249, 173.73, 257484, 3, 66
5YHR8wBR5jXfGtP766NiAT, 0.503, 0.843, 10, -4.991, 0, 0.316, 0, 0.344, 0.778, 128.63, 203105, 4, 64
5NDUXbMwcnTQp66tI2zcdR, 0.828, 0.56, 0, -6.685, 1, 0.0327, 3.66e-05, 0.15, 0.872, 122.054, 198001, 4, 72
3u0qM9FSgL3zXi1Vn75b0i, 0.781, 0.853, 1, -3.68, 0, 0.0715, 0, 0.12, 0.624, 110.049, 250189, 4, 25
152lZdxL1OR0ZMW6KquMif, 0.736, 0.449, 1, -11.462, 0, 0.425, 0.000162, 0.0898, 0.326, 80.126, 219080, 4, 85
7KXjTSCq5nL1LoYtL7XAwS, 0.908, 0.621, 1, -6.638, 0, 0.102, 5.39e-05, 0.0958, 0.421, 150.011, 177000, 4, 86
5huOzlgCK7PsMSG4TFBvKY, 0.68, 0.735, 11, -5.553, 0, 0.0482, 0.00132, 0.109, 0.523, 106.994, 213120, 4, 69
1CkvWZme3pRgbzaxZnTl5X, 0.729, 0.756, 8, -5.119, 1, 0.0294, 0, 0.0527, 0.522, 104.945, 228293, 4, 75
5o4yGlG0PfeVUa6ClIyOxq, 0.867, 0.545, 2, -5.192, 1, 0.0625, 0.000289, 0.0505, 0.525, 139.943, 162586, 4, 73
54l9GJGQ1UCFKe2tzt1Vxt, 0.607, 0.74, 4, -4.793, 0, 0.172, 0, 0.105, 0.219, 108.05, 189401, 4, 77
09IStsImFySgyp0pIQdqAc, 0.753, 0.657, 7, -3.061, 1, 0.0449, 0, 0.112, 0.437, 107.01, 184732, 4, 88
1rIKgCH4H52lrvDcz50hS8, 0.694, 0.712, 7, -3.923, 0, 0.046, 0, 0.211, 0.799, 98.022, 201122, 4, 80

[Country]
05mAIVLkIWc2d1UBYZBCp8, 0.739, 0.742, 7, -4.586, 1, 0.0329, 1.39e-06, 0.229, 0.659, 124.016, 189000, 4, 83
0jdny0dhgjUwoIp5GkqEaA, 0.576, 0.39, 10, -7.202, 1, 0.0297, 0, 0.111, 0.319, 73.433, 230267, 4, 77
7wR5r0KYGXBpyWXCdyYs3F, 0.29, 0.889, 1, -2.611, 1, 0.159, 0, 0.0821, 0.651, 98.835, 225213, 4, 61
0fgZUSa7D7aVvv3GfO0A1n, 0.733, 0.676, 10, -5.655, 0, 0.0432, 0, 0.208, 0.701, 97.448, 226581, 4, 71
5DSr1NMci58MEgS20vivSL, 0.671, 0.672, 4, -9.188, 0, 0.12, 3.98e-05, 0.074, 0.186, 117.96, 240680, 4, 68
67kXYrMTQbS7MVbXyGyxHm, 0.472, 0.265, 6, -10.059, 0, 0.0356, 0.000499, 0.1, 0.204, 111.558, 170680, 4, 72
4JIo8RztBbELr2gWJ5OGK6, 0.534, 0.642, 9, -3.971, 1, 0.0504, 0, 0.29, 0.131, 92.963, 249813, 4, 78
7tr2za8SQg2CI8EDgrdtNl, 0.736, 0.795, 1, -3.299, 0, 0.0545, 1.21e-06, 0.254, 0.511, 104.066, 230813, 4, 71
4rwqrKdwlFWJ6LvPYaOtgn, 0.44, 0.413, 0, -7.365, 0, 0.0407, 3.4e-05, 0.0997, 0.141, 86.911, 258188, 3, 73
10GJQkjRJcZhGTLagFOC62, 0.76, 0.588, 9, -7.082, 1, 0.0775, 0, 0.0847, 0.384, 102.974, 204400, 4, 80
5GNjiM8jZCgbqjHklAcT9e, 0.755, 0.682, 0, -4.799, 1, 0.0339, 0, 0.189, 0.498, 122.049, 219040, 4, 70
5kRPPEWFJIMox5qIkQkiz5, 0.427, 0.262, 7, -8.541, 1, 0.0276, 0, 0.068, 0.228, 104.085, 224867, 4, 76
4UAW2gObi5o6sJla0qZpPn, 0.528, 0.284, 9, -11.487, 1, 0.0287, 0.000303, 0.109, 0.172, 76.012, 246421, 4, 73
1rIKgCH4H52lrvDcz50hS8, 0.694, 0.712, 7, -3.923, 0, 0.046, 0, 0.211, 0.799, 98.022, 201122, 4, 80
7cpCU3Denug5NGZsSpQl8v, 0.431, 0.377, 2, -9.753, 1, 0.0288, 0, 0.211, 0.353, 173.67, 213627, 4, 73
0d2iYfpKoM0QCKvcLCkBao, 0.56, 0.68, 6, -7.648, 0, 0.321, 0, 0.116, 0.319, 89.391, 173800, 4, 91
2ZyuwVvV6Z3XJaXIFbspeE, 0.741, 0.626, 1, -4.826, 0, 0.0886, 0, 0.0828, 0.706, 108.029, 188493, 4, 67
5Ck3e6z1bcSCes5gdo0Ddt, 0.633, 0.576, 6, -7.837, 1, 0.0522, 3.37e-05, 0.127, 0.296, 119.799, 256080, 4, 66
0Y4hwUppbGc8aIBmiTz30A, 0.636, 0.805, 9, -4.594, 1, 0.327, 0, 0.0793, 0.908, 92.958, 196552, 4, 78
2y4lAQpi5VTNLu2ldeTdUH, 0.613, 0.622, 1, -5.794, 0, 0.0334, 0, 0.37, 0.484, 80.003, 231240, 4, 80
3E2Zh20GDCR9B1EYjfXWyv, 0.673, 0.637, 5, -4.518, 1, 0.0429, 0, 0.184, 0.678, 123.98, 201160, 4, 56
3GCdLUSnKSMJhs4Tj6CV3s, 0.698, 0.633, 8, -4.946, 1, 0.0597, 0.000194, 0.0926, 0.552, 96.924, 232187, 4, 84
1pKeFVVUOPjFsOABub0OaV, 0.65, 0.736, 6, -5.84, 0, 0.229, 0, 0.235, 0.612, 159.174, 226160, 4, 84
6mDoM5FGbr1Or5nY9pTnLy, 0.635, 0.496, 0, -7.301, 1, 0.0936, 0, 0.121, 0.373, 121.696, 235082, 4, 62
66wkCYWlXzSTQAfnsPBptt, 0.861, 0.33, 6, -7.194, 1, 0.0526, 1.93e-06, 0.14, 0.718, 95.016, 216000, 4, 76
0B1QTVABE86QcHjXdPfeej, 0.61, 0.803, 1, -4.523, 1, 0.035, 2.92e-05, 0.0386, 0.438, 89.997, 191027, 4, 26
0qt5f5EL92o8Snzopsv0en, 0.705, 0.78, 7, -6.267, 1, 0.0805, 0.00152, 0.115, 0.457, 142.028, 218228, 4, 65
1f5cbQtDrykjarZVrShaDI, 0.839, 0.81, 5, -5.274, 0, 0.0568, 0, 0.117, 0.814, 129.014, 209269, 4, 81
0TlLq3lA83rQOYtrqBqSct, 0.912, 0.412, 7, -8.074, 1, 0.124, 0.013, 0.104, 0.422, 154.983, 238614, 4, 89
1CwNogTShsnsn1C8UhRmYX, 0.546, 0.645, 11, -6.4, 1, 0.0527, 0, 0.107, 0.457, 101.578, 203475, 4, 67
39N9RPD9MRb5WmoLzNzPeA, 0.595, 0.773, 9, -4.736, 0, 0.0549, 0.00108, 0.334, 0.711, 180.073, 173628, 4, 84
1oc3jna2ablnfIKLYbKujl, 0.67, 0.853, 8, -4.515, 1, 0.0884, 0, 0.0602, 0.615, 103.843, 189000, 4, 35
7Fa5UNizycSms5jP3SQD3F, 0.768, 0.807, 2, -5.508, 0, 0.106, 2.99e-06, 0.214, 0.575, 112.001, 284000, 4, 59
7KXjTSCq5nL1LoYtL7XAwS, 0.908, 0.621, 1, -6.638, 0, 0.102, 5.39e-05, 0.0958, 0.421, 150.011, 177000, 4, 86
7fex2V7RzWl9nCKyILjibB, 0.387, 0.413, 7, -8.95, 1, 0.0559, 1.56e-05, 0.262, 0.249, 173.73, 257484, 3, 66
7EiZI6JVHllARrX9PUvAdX, 0.722, 0.331, 8, -7.789, 1, 0.0725, 0.283, 0.146, 0.102, 143.974, 313547, 4, 77
1Te8WIfLudxjHTr66BL0JK, 0.731, 0.822, 1, -5.305, 1, 0.0459, 0, 0.288, 0.708, 118.021, 196613, 4, 69
5W4vPDfwFNQqt7frRjL41t, 0.709, 0.698, 1, -5.181, 1, 0.0788, 0, 0.272, 0.754, 143.949, 182947, 4, 64
4QtiVmuA88tPQiCOHZuQ5b, 0.792, 0.895, 1, -3.112, 0, 0.0589, 0, 0.0501, 0.794, 94.968, 201526, 4, 82
1a5Yu5L18qNxVhXx38njON, 0.789, 0.442, 11, -7.844, 1, 0.0421, 0.00366, 0.0927, 0.45, 121.971, 192846, 4, 56
50kpGaPAhYJ3sGmk6vplg0, 0.607, 0.376, 4, -9.954, 1, 0.453, 0, 0.285, 0.545, 102.541, 233720, 4, 83
3eqT34f3rxmm4dR7madDIM, 0.813, 0.58, 11, -6.724, 1, 0.0746, 8.45e-06, 0.349, 0.443, 100.045, 221972, 4, 44
1P17dC1amhFzptugyAO7Il, 0.766, 0.709, 9, -6.471, 0, 0.123, 1.41e-05, 0.126, 0.506, 128.07, 211853, 4, 73
48q0vSHcJdhK3IiXH8C5WJ, 0.691, 0.64, 2, -6.517, 1, 0.0408, 1.03e-05, 0.16, 0.785, 92.03, 161124, 4, 58
5p3NP9mQblDsVJLdfNZJ3I, 0.706, 0.557, 0, -5.8, 1, 0.0813, 0, 0.276, 0.205, 132.98, 248827, 4, 66
7rKKh8AGVXuNXgLBpTBTFH, 0.549, 0.861, 10, -5.737, 1, 0.177, 0.000122, 0.101, 0.354, 189.711, 198107, 4, 65
1E1uGhNdBe6Dddbgs2KqtZ, 0.62, 0.61, 11, -8.329, 0, 0.0373, 0.162, 0.205, 0.235, 127.052, 238560, 4, 79
3QWjljChcOMkRDYSzF33Qr, 0.87, 0.502, 5, -7.497, 0, 0.0549, 0.00356, 0.0916, 0.673, 82.53, 160597, 4, 63
4F1yvJfQ7gJkrcgFJQDjOr, 0.689, 0.584, 1, -5.768, 0, 0.119, 0, 0.297, 0.676, 156.572, 191680, 4, 80
4dVpf9jZjcORqGTLUaeYj9, 0.797, 0.844, 11, -5.482, 1, 0.275, 0, 0.087, 0.52, 170.142, 173600, 4, 81
6B7op3kK1kFQp4Ck1UZtK5, 0.607, 0.718, 4, -4.095, 1, 0.0978, 0, 0.403, 0.551, 101.821, 213307, 4, 39
2uaiyLKnYvazyfR0Ky3Kbk, 0.649, 0.548, 1, -5.692, 0, 0.0318, 0, 0.136, 0.506, 150.036, 169181, 4, 43
20s34XSPIiYMGSFDRSs24t, 0.735, 0.567, 0, -5.962, 1, 0.0635, 0, 0.0659, 0.574, 149.968, 232707, 4, 63
6F5c58TMEs1byxUstkzVeM, 0.554, 0.772, 7, -4.821, 0, 0.0418, 6.6e-06, 0.354, 0.455, 179.984, 223546, 4, 78
4lnAN2S1fcI0SjxEbksZVr, 0.707, 0.611, 2, -4.474, 1, 0.0639, 3.59e-06, 0.0651, 0.285, 123.006, 186113, 4, 75
2TRFIQpTqq12xGpFJEr0Ft, 0.884, 0.765, 8, -3.865, 1, 0.0882, 7.04e-06, 0.118, 0.594, 99.987, 224573, 4, 43
6vN77lE9LK6HP2DewaN6HZ, 0.964, 0.346, 5, -9.309, 0, 0.53, 0, 0.108, 0.562, 119.958, 142273, 4, 86
1cOyWWUr3oXJIxY0AjJEx9, 0.628, 0.737, 7, -4.437, 1, 0.041, 0, 0.0777, 0.592, 91.507, 185194, 4, 69
4ofwffwvvnbSkrMSCKQDaC, 0.672, 0.735, 5, -4.733, 1, 0.0457, 0, 0.242, 0.754, 115.741, 201287, 4, 88
5WSdMcWTKRdN1QYVJHJWxz, 0.657, 0.913, 11, -4.984, 1, 0.0528, 0.00149, 0.466, 0.906, 108.036, 254620, 4, 65
2JqnpexlO9dmvjUMCaLCLJ, 0.55, 0.415, 9, -6.557, 0, 0.052, 0, 0.108, 0.274, 172.065, 205463, 4, 86
6u0oHknFYrnUd42A6rvFly, 0.818, 0.67, 8, -4.451, 0, 0.0472, 1.22e-06, 0.0601, 0.939, 119.988, 235382, 4, 51
2iJuuzV8P9Yz0VSurttIV5, 0.772, 0.685, 5, -6.849, 1, 0.0696, 8.96e-05, 0.131, 0.501, 130.033, 283400, 4, 73
7lGKEWMXVWWTt3X71Bv44I, 0.389, 0.665, 0, -6.169, 1, 0.0644, 0.000732, 0.116, 0.199, 117.055, 193547, 4, 79
5hTpBe8h35rJ67eAWHQsJx, 0.941, 0.335, 5, -10.179, 0, 0.505, 0, 0.262, 0.707, 120.041, 209640, 4, 79
60APt5N2NRaKWf5xzJdzyC, 0.784, 0.728, 0, -4.549, 0, 0.0539, 0, 0.222, 0.713, 110.165, 229160, 4, 62
2bJvI42r8EF3wxjOuDav4r, 0.72, 0.802, 1, -5.797, 1, 0.0582, 0, 0.694, 0.723, 124.043, 229360, 4, 78
7Ezwtgfw7khBrpvaNPtMoT, 0.414, 0.807, 10, -4.12, 0, 0.348, 0, 0.822, 0.409, 175.158, 191901, 4, 59
2d8JP84HNLKhmd6IYOoupQ, 0.746, 0.873, 7, -3.803, 1, 0.128, 0, 0.354, 0.817, 148.075, 222093, 4, 75
6fwdbPMwP1zVStm8FybmkO, 0.835, 0.413, 1, -9.81, 1, 0.396, 0.00133, 0.101, 0.111, 149.004, 258880, 4, 77
4ZJPwET9Jrgpkqi4Vo3Yg8, 0.656, 0.615, 5, -6.252, 1, 0.0539, 0, 0.234, 0.366, 139.91, 197253, 4, 71
0QsvXIfqM0zZoerQfsI9lm, 0.542, 0.859, 11, -5.651, 1, 0.197, 0.00466, 0.137, 0.403, 159.797, 208053, 4, 43
7e6FvCvngX5job1PUYIIIL, 0.744, 0.634, 8, -7.942, 0, 0.247, 0, 0.223, 0.333, 104.018, 184840, 4, 69
5WoaF1B5XIEnWfmb5NZikf, 0.674, 0.506, 6, -10.532, 1, 0.0434, 0, 0.0866, 0.183, 145.965, 259333, 4, 78
19gEmPjfqSZT0ulDRfjl0m, 0.794, 0.51, 9, -7.314, 1, 0.42, 1.81e-06, 0.0562, 0.18, 167.879, 194561, 4, 74
0puf9yIluy9W0vpMEUoAnN, 0.706, 0.786, 0, -3.417, 0, 0.0909, 0, 0.38, 0.749, 150.035, 199387, 4, 80
2NlTOhsAamXOaZciOXbITb, 0.693, 0.717, 9, -6.346, 0, 0.107, 0, 0.0464, 0.412, 99.836, 234308, 4, 73
0b9oOr2ZgvyQu88wzixux9, 0.854, 0.463, 5, -6.159, 1, 0.137, 0, 0.354, 0.549, 120.024, 225773, 4, 81
54l9GJGQ1UCFKe2tzt1Vxt, 0.607, 0.74, 4, -4.793, 0, 0.172, 0, 0.105, 0.219, 108.05, 189401, 4, 77
4kflIGfjdZJW4ot2ioixTB, 0.559, 0.33, 9, -8.251, 1, 0.0285, 0, 0.0975, 0.285, 135.109, 285040, 4, 79
3JEzGRDUsozrehZTq3dKE8, 0.419, 0.655, 0, -6.679, 1, 0.247, 0, 0.0962, 0.353, 76.835, 215297, 3, 61
6WAxKNbZoGNzQTIvdMqkFs, 0.619, 0.539, 1, -5.688, 0, 0.0409, 0, 0.106, 0.39, 112.006, 206400, 4, 65
77UjLW8j5UAGAGVGhR5oUK, 0.735, 0.677, 2, -4.979, 1, 0.093, 2.17e-05, 0.111, 0.188, 100.584, 211440, 4, 81
6JV2JOEocMgcZxYSZelKcc, 0.667, 0.83, 0, -5.715, 1, 0.0749, 0, 0.191, 0.701, 113.03, 236002, 4, 80
39jXnbACjiaiTwwhsr5sY5, 0.509, 0.538, 0, -6.456, 1, 0.0397, 0, 0.13, 0.178, 153.711, 223044, 4, 78
6JG0qhINKVwiHxqN85j7RG, 0.607, 0.784, 7, -6.293, 1, 0.268, 0, 0.689, 0.482, 81.004, 278573, 4, 72
4tERsdVCLtLtrGdFBf9DGC, 0.715, 0.742, 0, -4.331, 1, 0.0347, 2.47e-05, 0.364, 0.322, 106.971, 230880, 4, 73
6olUplztLFFfU7fMYmFXOP, 0.699, 0.601, 0, -6.48, 1, 0.0304, 1.17e-05, 0.562, 0.434, 98.04, 252013, 4, 66
4BHzQ9C00ceJxfG16AlNWb, 0.69, 0.524, 6, -8.39, 0, 0.103, 3.16e-06, 0.17, 0.562, 164.023, 223080, 4, 73
4pdgV8qr9Oytcv6thCdiIZ, 0.848, 0.663, 8, -5.606, 0, 0.245, 0, 0.108, 0.333, 133.993, 255413, 4, 61
2S2od3hT7ceytw7d1pTRuE, 0.664, 0.738, 9, -4.095, 0, 0.0338, 5.75e-05, 0.135, 0.203, 119.973, 193962, 4, 77
2mj7x99sNUsVHPBRK51zlG, 0.599, 0.396, 10, -10.489, 0, 0.0392, 2.19e-05, 0.102, 0.134, 111.072, 246327, 4, 70
2H881m3JRA8lpuuwaQL6zy, 0.614, 0.682, 11, -4.117, 0, 0.102, 0, 0.134, 0.566, 100.202, 169853, 4, 68
1n8ZUpQ0iVY6gVBgEUdA2Q, 0.61, 0.707, 8, -5.029, 1, 0.0579, 0, 0.0538, 0.669, 157.975, 198227, 4, 35
0E6PsO3ymCfUh7pJQjBgkj, 0.705, 0.784, 2, -6.477, 1, 0.271, 0, 0.168, 0.377, 160.035, 264853, 4, 72
5wUUWVRvrciJqFitZF8R0P, 0.643, 0.541, 2, -5.801, 1, 0.0426, 0, 0.102, 0.165, 119.501, 311197, 4, 69
7t2bFihaDvhIrd2gn2CWJO, 0.805, 0.33, 1, -8.712, 0, 0.1, 0, 0.105, 0.211, 121.97, 242983, 4, 79
1ZY1PqizIl78geGM4xWlEA, 0.8, 0.535, 7, -6.684, 1, 0.135, 9.48e-06, 0.213, 0.451, 92.027, 209680, 4, 72
5o4yGlG0PfeVUa6ClIyOxq, 0.867, 0.545, 2, -5.192, 1, 0.0625, 0.000289, 0.0505, 0.525, 139.943, 162586, 4, 73
1FY8gDAydm8CfGYp7Lv9ce, 0.648, 0.616, 6, -7.82, 1, 0.0606, 0, 0.161, 0.275, 105.985, 202347, 4, 67

[Electronic]
4BHzQ9C00ceJxfG16AlNWb, 0.69, 0.524, 6, -8.39, 0, 0.103, 3.16e-06, 0.17, 0.562, 164.023, 223080, 4, 73
5fyIGoaaKelzdyW8ELhYJZ, 0.564, 0.703, 2, -5.459, 1, 0.269, 0.00927, 0.358, 0.477, 139.045, 237840, 4, 67
4F7A0DXBrmUAkp32uenhZt, 0.572, 0.631, 1, -8.389, 1, 0.104, 2.31e-05, 0.259, 0.219, 77.519, 249213, 4, 74
6B7op3kK1kFQp4Ck1UZtK5, 0.607, 0.718, 4, -4.095, 1, 0.0978, 0, 0.403, 0.551, 101.821, 213307, 4, 39
5hTpBe8h35rJ67eAWHQsJx, 0.941, 0.335, 5, -10.179, 0, 0.505, 0, 0.262, 0.707, 120.041, 209640, 4, 79
7py16W5fWYLFFS6BElKAjn, 0.605, 0.77, 5, -3.645, 0, 0.0446, 0, 0.159, 0.298, 130.037, 225915, 4, 71
57kR5SniQIbsbVoIjjOUDa, 0.426, 0.722, 5, -5.369, 0, 0.196, 1.27e-06, 0.262, 0.25, 196.133, 247267, 4, 74
39hnH8WdPmNT3Q3yzwC9Rg, 0.926, 0.336, 0, -9.326, 0, 0.594, 0, 0.138, 0.38, 92.995, 196600, 4, 66
1rqqCSm0Qe4I9rUvWncaom, 0.579, 0.904, 5, -2.729, 1, 0.0618, 0, 0.064, 0.681, 82.014, 190947, 4, 95
3D1rlKmZdpYUeMtRRLNawc, 0.662, 0.844, 8, -5.495, 1, 0.0669, 4.78e-05, 0.525, 0.763, 145.007, 205760, 4, 72
1cOyWWUr3oXJIxY0AjJEx9, 0.628, 0.737, 7, -4.437, 1, 0.041, 0, 0.0777, 0.592, 91.507, 185194, 4, 69
4MdQkwmoI9lrUfHGD7wOzy, 0.735, 0.494, 8, -7.607, 0, 0.115, 1.05e-06, 0.108, 0.143, 135.159, 170752, 4, 65
5o3GnrcFtvkdf3zFznuSbA, 0.783, 0.61, 7, -6.124, 1, 0.0696, 0, 0.0983, 0.418, 100.047, 214265, 4, 76
3DGar7krWlmrXRFHBcQF6z, 0.734, 0.765, 7, -5.562, 1, 0.0621, 0, 0.231, 0.518, 109.989, 163636, 4, 82
7rfiXyFb5M9BqdkvKvVEiB, 0.728, 0.811, 7, -4.278, 1, 0.0564, 2.07e-06, 0.362, 0.705, 114.995, 228707, 4, 68
6G8kHiVZ1jW7vHMPVRNZU0, 0.826, 0.318, 10, -12.391, 1, 0.0574, 0.0131, 0.11, 0.138, 103.002, 245787, 4, 82
0s3nnoMeVWz3989MkNQiRf, 0.511, 0.566, 6, -7.23, 0, 0.2, 0, 0.34, 0.218, 83.903, 239836, 4, 60
6WAxKNbZoGNzQTIvdMqkFs, 0.619, 0.539, 1, -5.688, 0, 0.0409, 0, 0.106, 0.39, 112.006, 206400, 4, 65
2RttW7RAu5nOAfq6YFvApB, 0.522, 0.385, 0, -7.355, 1, 0.0288, 0, 0.135, 0.236, 89.792, 207520, 4, 87
2glGP8kEfACgJdZ86kWxhN, 0.763, 0.608, 5, -8.1, 0, 0.035, 2.5e-05, 0.12, 0.393, 121.02, 138013, 4, 65
7DsX5K72fewVGb47qj7Tbg, 0.386, 0.377, 4, -9.372, 0, 0.0484, 1.96e-06, 0.0864, 0.168, 172.618, 221596, 3, 73
5UPNBWFU2TEf9kauIITfBs, 0.77, 0.69, 1, -5.565, 1, 0.136, 0, 0.128, 0.732, 103.035, 178507, 4, 64
4wCmqSrbyCgxEXROQE6vtV, 0.857, 0.517, 0, -6.972, 1, 0.0384, 0.000195, 0.102, 0.754, 129.063, 244973, 4, 75
2DQ1ITjI0YoLFzuADN1ZBW, 0.838, 0.771, 1, -3.791, 1, 0.244, 0, 0.0853, 0.405, 175.957, 245387, 4, 73
6XcfKZvJio9Z0fQy11GnNX, 0.666, 0.728, 7, -5.808, 1, 0.0419, 4.26e-06, 0.0429, 0.51, 122.996, 204878, 4, 79
6875MeXyCW0wLyT72Eetmo, 0.668, 0.613, 4, -4.225, 1, 0.102, 0, 0.102, 0.498, 99.852, 181933, 4, 48
4r6eNCsrZnQWJzzvFh4nlg, 0.638, 0.832, 8, -5.039, 1, 0.049, 0, 0.113, 0.648, 124.071, 227893, 4, 62
7gHs73wELdeycvS48JfIos, 0.589, 0.651, 6, -5.097, 1, 0.0306, 3.2e-06, 0.111, 0.166, 90.011, 212627, 4, 81
2vwlzO0Qp8kfEtzTsCXfyE, 0.53, 0.422, 5, -6.262, 1, 0.0342, 0, 0.107, 0.349, 119.964, 221360, 4, 76
3JTtZUOiZljuWbNiasfHB6, 0.785, 0.702, 7, -4.517, 1, 0.0464, 0, 0.175, 0.569, 116.021, 167640, 4, 69
343YBumqHu19cGoGARUTsd, 0.927, 0.488, 9, -9.433, 0, 0.42, 0, 0.196, 0.605, 133.987, 210937, 4, 77
