0.734, 0.766, 1, -4.485, 1, 0.0383, 0.00138, 0.108, 0.6, 127.986, 215227, 4, 54
0.501, 0.648, 9, -7.173, 1, 0.0696, 1.26e-05, 0.153, 0.191, 163.834, 225200, 4, 65
0.775, 0.823, 1, -6.091, 1, 0.271, 0, 0.144, 0.273, 130.041, 188013, 4, 77
0.778, 0.547, 2, -7.273, 1, 0.0489, 0.000302, 0.132, 0.441, 95.002, 242733, 4, 78
0.579, 0.904, 5, -2.729, 1, 0.0618, 0, 0.064, 0.681, 82.014, 190947, 4, 95
0.716, 0.821, 5, -3.435, 0, 0.0314, 0, 0.0844, 0.618, 92.997, 219547, 4, 72
0.731, 0.794, 0, -5.126, 0, 0.0522, 2.59e-05, 0.112, 0.356, 139.994, 220454, 4, 81
0.652, 0.713, 8, -5.311, 1, 0.0368, 1.02e-05, 0.144, 0.152, 100.023, 205947, 4, 83
0.735, 0.451, 0, -8.374, 1, 0.0585, 1.3e-05, 0.325, 0.0862, 117.973, 245200, 4, 79
0.773, 0.819, 0, -5.946, 0, 0.118, 0, 0.0679, 0.585, 92.99, 269187, 4, 71
0.643, 0.541, 2, -5.801, 1, 0.0426, 0, 0.102, 0.165, 119.501, 311197, 4, 69
0.687, 0.792, 5, -2.749, 1, 0.0452, 0, 0.167, 0.671, 100.015, 214290, 4, 97
0.573, 0.739, 0, -5.74, 1, 0.129, 0, 0.111, 0.451, 97.085, 230227, 4, 76
0.72, 0.727, 5, -3.882, 1, 0.0489, 0, 0.138, 0.481, 99.994, 223190, 4, 69
0.61, 0.803, 1, -4.523, 1, 0.035, 2.92e-05, 0.0386, 0.438, 89.997, 191027, 4, 26
0.435, 0.155, 1, -8.948, 1, 0.046, 0, 0.107, 0.0935, 128.532, 287693, 3, 81
0.605, 0.77, 5, -3.645, 0, 0.0446, 0, 0.159, 0.298, 130.037, 225915, 4, 71
0.732, 0.75, 11, -6.366, 0, 0.231, 0, 0.109, 0.401, 155.096, 182707, 4, 87
0.664, 0.705, 1, -4.972, 0, 0.0382, 0, 0.118, 0.477, 122.016, 257267, 4, 80
0.794, 0.632, 0, -6.163, 1, 0.0649, 0, 0.128, 0.355, 145.926, 291893, 4, 78
0.606, 0.887, 9, -4.782, 0, 0.052, 3.47e-06, 0.0958, 0.349, 97.972, 191787, 4, 67
0.667, 0.614, 10, -4.995, 1, 0.0314, 0, 0.111, 0.161, 113.979, 214533, 4, 67
0.583, 0.732, 11, -5.728, 0, 0.0457, 9.86e-06, 0.269, 0.276, 145.992, 213428, 4, 80
0.711, 0.508, 7, -7.299, 1, 0.0494, 0, 0.141, 0.665, 98.098, 217800, 4, 72
0.736, 0.795, 1, -3.299, 0, 0.0545, 1.21e-06, 0.254, 0.511, 104.066, 230813, 4, 71
0.599, 0.396, 10, -10.489, 0, 0.0392, 2.19e-05, 0.102, 0.134, 111.072, 246327, 4, 70
0.867, 0.545, 2, -5.192, 1, 0.0625, 0.000289, 0.0505, 0.525, 139.943, 162586, 4, 73
0.607, 0.718, 4, -4.095, 1, 0.0978, 0, 0.403, 0.551, 101.821, 213307, 4, 39
0.843, 0.359, 0, -7.417, 1, 0.461, 0, 0.12, 0.156, 81.987, 163944, 4, 75
0.69, 0.784, 1, -4.653, 1, 0.032, 0, 0.203, 0.669, 106.066, 194408, 4, 86
0.774, 0.838, 5, -3.914, 0, 0.114, 0.025, 0.242, 0.924, 143.04, 198800, 4, 80
0.576, 0.39, 10, -7.202, 1, 0.0297, 0, 0.111, 0.319, 73.433, 230267, 4, 77
0.461, 0.812, 10, -5.776, 0, 0.241, 0.000375, 0.21, 0.72, 159.869, 193902, 4, 55
0.426, 0.722, 5, -5.369, 0, 0.196, 1.27e-06, 0.262, 0.25, 196.133, 247267, 4, 74
0.414, 0.807, 10, -4.12, 0, 0.348, 0, 0.822, 0.409, 175.158, 191901, 4, 59
0.537, 0.777, 7, -4.829, 0, 0.0473, 6.12e-05, 0.0838, 0.427, 124.943, 255093, 4, 79
0.421, 0.873, 10, -4.343, 1, 0.0565, 0, 0.123, 0.63, 84.803, 202533, 4, 80
0.774, 0.739, 0, -4.022, 1, 0.0952, 5.95e-06, 0.119, 0.823, 126.002, 246240, 4, 50
0.459, 0.741, 4, -6.43, 0, 0.0495, 0, 0.481, 0.344, 189.879, 231013, 4, 46
0.619, 0.539, 1, -5.688, 0, 0.0409, 0, 0.106, 0.39, 112.006, 206400, 4, 65
0.614, 0.938, 11, -4.461, 1, 0.0611, 0, 0.368, 0.607, 100.058, 224674, 4, 70
0.485, 0.91, 9, -2.096, 1, 0.0977, 0, 0.138, 0.649, 124.18, 205027, 4, 61
0.675, 0.609, 7, -5.027, 0, 0.0586, 0, 0.0957, 0.378, 120.039, 208729, 4, 73
0.736, 0.449, 1, -11.462, 0, 0.425, 0.000162, 0.0898, 0.326, 80.126, 219080, 4, 85
0.672, 0.738, 0, -7.045, 1, 0.0506, 6.75e-05, 0.0927, 0.392, 107.938, 277040, 4, 71
0.747, 0.705, 9, -5.137, 0, 0.126, 0, 0.126, 0.56, 136.024, 213507, 4, 76
0.908, 0.621, 1, -6.638, 0, 0.102, 5.39e-05, 0.0958, 0.421, 150.011, 177000, 4, 86
0.513, 0.63, 3, -6.333, 1, 0.0859, 0, 0.171, 0.297, 148.139, 178307, 4, 44
0.725, 0.708, 5, -5.331, 0, 0.0756, 0, 0.777, 0.555, 130.029, 231853, 4, 70
0.694, 0.712, 7, -3.923, 0, 0.046, 0, 0.211, 0.799, 98.022, 201122, 4, 80
0.848, 0.663, 8, -5.606, 0, 0.245, 0, 0.108, 0.333, 133.993, 255413, 4, 61
0.72, 0.802, 1, -5.797, 1, 0.0582, 0, 0.694, 0.723, 124.043, 229360, 4, 78
0.87, 0.502, 5, -7.497, 0, 0.0549, 0.00356, 0.0916, 0.673, 82.53, 160597, 4, 63
0.888, 0.483, 6, -7.797, 1, 0.154, 4.85e-06, 0.0926, 0.226, 125.008, 200080, 4, 76
0.697, 0.552, 1, -10.271, 0, 0.196, 0.127, 0.147, 0.278, 75.235, 180567, 4, 86
0.688, 0.702, 7, -4.792, 0, 0.0499, 0, 0.128, 0.74, 94.006, 192191, 4, 78
0.726, 0.787, 4, -2.494, 1, 0.0738, 0, 0.0596, 0.888, 124.989, 199987, 4, 72
0.689, 0.521, 0, -5.845, 1, 0.132, 8.41e-05, 0.108, 0.178, 95.055, 229747, 4, 76
0.558, 0.451, 9, -6.163, 1, 0.0388, 0, 0.101, 0.238, 150.008, 265382, 4, 70
0.758, 0.554, 7, -4.567, 1, 0.0341, 0, 0.0418, 0.783, 126.986, 231840, 4, 69
0.866, 0.859, 1, -3.087, 0, 0.0587, 0, 0.401, 0.923, 109.972, 200347, 4, 79
0.587, 0.535, 5, -6.09, 0, 0.0898, 6.56e-05, 0.131, 0.14, 159.847, 218147, 4, 92
0.816, 0.726, 5, -3.998, 0, 0.129, 0, 0.372, 0.65, 136.048, 253390, 4, 90
0.648, 0.616, 6, -7.82, 1, 0.0606, 0, 0.161, 0.275, 105.985, 202347, 4, 67
0.544, 0.552, 9, -7.45, 1, 0.0991, 4.57e-05, 0.415, 0.554, 159.738, 184516, 3, 78
0.927, 0.535, 6, -7.59, 0, 0.0911, 0, 0.136, 0.336, 112.96, 313573, 4, 71
0.509, 0.538, 0, -6.456, 1, 0.0397, 0, 0.13, 0.178, 153.711, 223044, 4, 78
0.613, 0.622, 1, -5.794, 0, 0.0334, 0, 0.37, 0.484, 80.003, 231240, 4, 80
0.707, 0.611, 2, -4.474, 1, 0.0639, 3.59e-06, 0.0651, 0.285, 123.006, 186113, 4, 75
0.746, 0.703, 4, -4.179, 0, 0.107, 0, 0.331, 0.667, 166.043, 179693, 4, 80
0.656, 0.615, 5, -6.252, 1, 0.0539, 0, 0.234, 0.366, 139.91, 197253, 4, 71
0.739, 0.742, 7, -4.586, 1, 0.0329, 1.39e-06, 0.229, 0.659, 124.016, 189000, 4, 83
0.609, 0.668, 7, -4.284, 1, 0.0367, 0, 0.167, 0.811, 80.924, 288600, 4, 79
0.724, 0.904, 8, -3.354, 0, 0.0966, 0, 0.226, 0.846, 90.999, 200813, 4, 74
0.678, 0.401, 6, -8.408, 0, 0.0312, 0, 0.118, 0.194, 111.855, 232852, 4, 76
0.645, 0.585, 6, -6.122, 1, 0.0513, 0, 0.165, 0.353, 131.931, 215672, 4, 78
0.709, 0.698, 1, -5.181, 1, 0.0788, 0, 0.272, 0.754, 143.949, 182947, 4, 64
0.522, 0.385, 0, -7.355, 1, 0.0288, 0, 0.135, 0.236, 89.792, 207520, 4, 87
0.633, 0.576, 6, -7.837, 1, 0.0522, 3.37e-05, 0.127, 0.296, 119.799, 256080, 4, 66
0.427, 0.262, 7, -8.541, 1, 0.0276, 0, 0.068, 0.228, 104.085, 224867, 4, 76
0.703, 0.757, 1, -3.612, 1, 0.05, 0, 0.106, 0.696, 82.008, 221747, 4, 81
0.765, 0.621, 0, -3.827, 0, 0.025, 0, 0.0369, 0.798, 102.065, 212267, 4, 61
0.781, 0.853, 1, -3.68, 0, 0.0715, 0, 0.12, 0.624, 110.049, 250189, 4, 25
0.726, 0.431, 0, -6.666, 1, 0.0554, 0, 0.054, 0.86, 85.889, 188174, 4, 80
0.711, 0.882, 0, -4.276, 1, 0.0576, 0, 0.226, 0.56, 106.017, 167038, 4, 69
0.903, 0.621, 2, -8.132, 1, 0.0578, 0.000186, 0.0504, 0.553, 134.969, 267067, 4, 79
0.775, 0.68, 0, -5.508, 0, 0.0629, 0, 0.109, 0.656, 114.025, 207719, 4, 77
0.668, 0.613, 4, -4.225, 1, 0.102, 0, 0.102, 0.498, 99.852, 181933, 4, 48
0.673, 0.637, 5, -4.518, 1, 0.0429, 0, 0.184, 0.678, 123.98, 201160, 4, 56
0.67, 0.752, 1, -4.146, 1, 0.0374, 0, 0.0749, 0.442, 149.961, 204747, 4, 84
0.812, 0.621, 5, -8.3, 1, 0.0515, 0, 0.099, 0.847, 77.998, 128157, 4, 74
0.464, 0.771, 8, -4.503, 1, 0.336, 0, 0.063, 0.69, 158.777, 198237, 4, 71
0.617, 0.567, 0, -4.188, 1, 0.0828, 0, 0.0933, 0.505, 90.246, 217603, 4, 76
0.735, 0.677, 2, -4.979, 1, 0.093, 2.17e-05, 0.111, 0.188, 100.584, 211440, 4, 81
0.479, 0.727, 4, -5.369, 1, 0.0357, 1.97e-05, 0.0644, 0.0577, 180.09, 253249, 4, 35
0.755, 0.599, 8, -5.042, 1, 0.224, 0, 0.109, 0.755, 133.123, 216632, 4, 82
0.835, 0.413, 1, -9.81, 1, 0.396, 0.00133, 0.101, 0.111, 149.004, 258880, 4, 77
0.803, 0.585, 0, -5.39, 1, 0.087, 2.87e-05, 0.201, 0.241, 146.02, 254080, 4, 63
0.797, 0.844, 11, -5.482, 1, 0.275, 0, 0.087, 0.52, 170.142, 173600, 4, 81
0.448, 0.612, 2, -6.106, 1, 0.0708, 0, 0.08, 0.213, 97.773, 189467, 4, 49
